,tool,task,model,fold,train,val,test,overfit,constraint
0,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,adult,best_ensemble_model,0,,,0.848301,,14400s1c8G
1,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,adult,best_ensemble_model,1,,,0.838676,,14400s1c8G
2,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,adult,best_ensemble_model,2,,,0.8502120000000001,,14400s1c8G
3,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,adult,best_ensemble_model,3,,,0.8454290000000001,,14400s1c8G
4,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,adult,best_ensemble_model,4,,,0.838384,,14400s1c8G
5,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Amazon_employee_access,best_ensemble_model,0,,,0.795233,,14400s1c8G
6,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Amazon_employee_access,best_ensemble_model,1,,,0.786432,,14400s1c8G
7,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Amazon_employee_access,best_ensemble_model,2,,,0.802217,,14400s1c8G
8,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Amazon_employee_access,best_ensemble_model,3,,,0.794485,,14400s1c8G
9,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Amazon_employee_access,best_ensemble_model,4,,,0.796144,,14400s1c8G
10,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,APSFailure,best_ensemble_model,0,,,0.9758530000000001,,14400s1c8G
11,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,APSFailure,best_ensemble_model,1,,,0.9568989999999999,,14400s1c8G
12,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,APSFailure,best_ensemble_model,2,,,0.965606,,14400s1c8G
13,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,APSFailure,best_ensemble_model,3,,,0.9636979999999999,,14400s1c8G
14,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,APSFailure,best_ensemble_model,4,,,0.9518780000000001,,14400s1c8G
15,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,bank-marketing,best_ensemble_model,0,,,0.864466,,14400s1c8G
16,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,bank-marketing,best_ensemble_model,1,,,0.872856,,14400s1c8G
17,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,bank-marketing,best_ensemble_model,2,,,0.866351,,14400s1c8G
18,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,bank-marketing,best_ensemble_model,3,,,0.8574579999999999,,14400s1c8G
19,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,bank-marketing,best_ensemble_model,4,,,0.8700979999999999,,14400s1c8G
20,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,connect-4,best_ensemble_model,0,,,0.756744,,14400s1c8G
21,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,connect-4,best_ensemble_model,1,,,0.754812,,14400s1c8G
22,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,connect-4,best_ensemble_model,2,,,0.7704770000000001,,14400s1c8G
23,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,connect-4,best_ensemble_model,3,,,0.753634,,14400s1c8G
24,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,connect-4,best_ensemble_model,4,,,0.764374,,14400s1c8G
25,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Fashion-MNIST,best_ensemble_model,0,,,0.912286,,14400s1c8G
26,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Fashion-MNIST,best_ensemble_model,1,,,0.916143,,14400s1c8G
27,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Fashion-MNIST,best_ensemble_model,2,,,0.9067139999999999,,14400s1c8G
28,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Fashion-MNIST,best_ensemble_model,3,,,0.911286,,14400s1c8G
29,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Fashion-MNIST,best_ensemble_model,4,,,0.910143,,14400s1c8G
30,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,guillermo,best_ensemble_model,0,,,0.826042,,14400s1c8G
31,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,guillermo,best_ensemble_model,1,,,0.808125,,14400s1c8G
32,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,guillermo,best_ensemble_model,2,,,0.8425,,14400s1c8G
33,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,guillermo,best_ensemble_model,3,,,0.827083,,14400s1c8G
34,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,guillermo,best_ensemble_model,4,,,0.823958,,14400s1c8G
35,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Helena,best_ensemble_model,0,,,0.24814499999999998,,14400s1c8G
36,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Helena,best_ensemble_model,1,,,0.251198,,14400s1c8G
37,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Helena,best_ensemble_model,2,,,0.248558,,14400s1c8G
38,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Helena,best_ensemble_model,3,,,0.24484299999999998,,14400s1c8G
39,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Helena,best_ensemble_model,4,,,0.261859,,14400s1c8G
40,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,higgs,best_ensemble_model,0,,,0.736347,,14400s1c8G
41,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,higgs,best_ensemble_model,1,,,0.7226130000000001,,14400s1c8G
42,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,higgs,best_ensemble_model,2,,,0.733946,,14400s1c8G
43,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,higgs,best_ensemble_model,3,,,0.732009,,14400s1c8G
44,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,higgs,best_ensemble_model,4,,,0.734742,,14400s1c8G
45,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Jannis,best_ensemble_model,0,,,0.660976,,14400s1c8G
46,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Jannis,best_ensemble_model,1,,,0.644332,,14400s1c8G
47,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Jannis,best_ensemble_model,2,,,0.6449520000000001,,14400s1c8G
48,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Jannis,best_ensemble_model,3,,,0.662564,,14400s1c8G
49,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Jannis,best_ensemble_model,4,,,0.657413,,14400s1c8G
50,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,jungle_chess_2pcs_raw_endgame_complete,best_ensemble_model,0,,,0.8976290000000001,,14400s1c8G
51,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,jungle_chess_2pcs_raw_endgame_complete,best_ensemble_model,1,,,0.8861700000000001,,14400s1c8G
52,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,jungle_chess_2pcs_raw_endgame_complete,best_ensemble_model,2,,,0.90281,,14400s1c8G
53,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,jungle_chess_2pcs_raw_endgame_complete,best_ensemble_model,3,,,0.892523,,14400s1c8G
54,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,jungle_chess_2pcs_raw_endgame_complete,best_ensemble_model,4,,,0.893732,,14400s1c8G
55,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,KDDCup09_appetency,best_ensemble_model,0,,,,,14400s1c8G
56,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,KDDCup09_appetency,best_ensemble_model,1,,,,,14400s1c8G
57,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,KDDCup09_appetency,best_ensemble_model,2,,,,,14400s1c8G
58,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,KDDCup09_appetency,best_ensemble_model,3,,,,,14400s1c8G
59,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,KDDCup09_appetency,best_ensemble_model,4,,,,,14400s1c8G
60,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,MiniBooNE,best_ensemble_model,0,,,0.937449,,14400s1c8G
61,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,MiniBooNE,best_ensemble_model,1,,,0.9364020000000001,,14400s1c8G
62,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,MiniBooNE,best_ensemble_model,2,,,0.937486,,14400s1c8G
63,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,MiniBooNE,best_ensemble_model,3,,,0.943816,,14400s1c8G
64,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,MiniBooNE,best_ensemble_model,4,,,0.942089,,14400s1c8G
65,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,nomao,best_ensemble_model,0,,,0.971657,,14400s1c8G
66,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,nomao,best_ensemble_model,1,,,0.974617,,14400s1c8G
67,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,nomao,best_ensemble_model,2,,,0.968424,,14400s1c8G
68,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,nomao,best_ensemble_model,3,,,0.974211,,14400s1c8G
69,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,nomao,best_ensemble_model,4,,,0.9699469999999999,,14400s1c8G
70,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,numerai28.6,best_ensemble_model,0,,,0.513847,,14400s1c8G
71,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,numerai28.6,best_ensemble_model,1,,,0.527359,,14400s1c8G
72,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,numerai28.6,best_ensemble_model,2,,,0.5202140000000001,,14400s1c8G
73,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,numerai28.6,best_ensemble_model,3,,,0.5220020000000001,,14400s1c8G
74,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,numerai28.6,best_ensemble_model,4,,,0.528502,,14400s1c8G
75,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,riccardo,best_ensemble_model,0,,,0.998333,,14400s1c8G
76,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,riccardo,best_ensemble_model,1,,,0.998667,,14400s1c8G
77,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,riccardo,best_ensemble_model,2,,,0.9990000000000001,,14400s1c8G
78,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,riccardo,best_ensemble_model,3,,,0.998333,,14400s1c8G
79,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,riccardo,best_ensemble_model,4,,,0.9990000000000001,,14400s1c8G
80,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Robert,best_ensemble_model,0,,,0.45304700000000003,,14400s1c8G
81,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Robert,best_ensemble_model,1,,,0.44378199999999995,,14400s1c8G
82,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Robert,best_ensemble_model,2,,,0.44627100000000003,,14400s1c8G
83,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Robert,best_ensemble_model,3,,,0.450533,,14400s1c8G
84,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Robert,best_ensemble_model,4,,,0.443434,,14400s1c8G
85,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Shuttle,best_ensemble_model,0,,,0.999969,,14400s1c8G
86,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Shuttle,best_ensemble_model,1,,,1.0,,14400s1c8G
87,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Shuttle,best_ensemble_model,2,,,0.9999370000000001,,14400s1c8G
88,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Shuttle,best_ensemble_model,3,,,0.8571120000000001,,14400s1c8G
89,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Shuttle,best_ensemble_model,4,,,1.0,,14400s1c8G
90,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Volkert,best_ensemble_model,0,,,0.682144,,14400s1c8G
91,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Volkert,best_ensemble_model,1,,,0.677527,,14400s1c8G
92,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Volkert,best_ensemble_model,2,,,0.683704,,14400s1c8G
93,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Volkert,best_ensemble_model,3,,,0.670662,,14400s1c8G
94,autosklearnEnsembleIntensification_10incumbents_repeats5_folds351053_level2_20diversestacks_stackAny,Volkert,best_ensemble_model,4,,,0.690141,,14400s1c8G
