,tool,task,fold,JobID,JobName,MaxRSS,Elapsed,MaxDiskRead,MaxDiskWrite,MaxVMSize,MinCPU,TotalCPU,SMACModelsSUCCESS,SMACModelsALL
0,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,cnae-9,0,5426172,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_cnae-9_0,2436940K,01:01:21,786.92M,730.75M,6491004K,00:05:15,11:27.030,12,18
1,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,cnae-9,1,5426173,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_cnae-9_1,817880K,01:01:03,643.58M,448.28M,4931808K,00:04:35,05:35.922,5,8
2,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,cnae-9,2,5426174,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_cnae-9_2,3299788K,01:01:17,983.57M,1408.61M,7476940K,00:09:12,37:25.704,38,50
3,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,cnae-9,3,5426175,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_cnae-9_3,1358444K,01:01:07,1521.48M,1270.31M,5013248K,00:04:32,07:11.984,11,16
4,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,cnae-9,4,5426176,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_cnae-9_4,3413232K,01:00:57,572.15M,950.57M,7531536K,00:03:31,17:00.765,24,32
5,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,higgs,0,5426177,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_higgs_0,4199372K,01:00:59,892.51M,122.87M,8259844K,00:09:37,01:05:02,3,17
6,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,higgs,1,5426178,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_higgs_1,3613212K,01:00:24,702.15M,67.48M,7660296K,00:09:48,43:26.832,2,14
7,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,higgs,2,5426179,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_higgs_2,4177776K,01:00:49,892.63M,123.21M,8316032K,00:06:53,01:00:33,3,16
8,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,higgs,3,5426180,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_higgs_3,4201956K,01:00:28,792.81M,72.24M,8189148K,00:09:41,52:24.222,2,17
9,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,higgs,4,5426181,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_higgs_4,3611812K,01:00:56,500.20M,103.28M,7651856K,00:07:36,26:51.683,1,6
10,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,kr-vs-kp,0,5426182,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_0,3388248K,01:00:51,558.83M,698.44M,7654948K,00:08:49,27:11.453,24,34
11,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,kr-vs-kp,1,5426183,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_1,2751804K,01:00:48,390.73M,591.28M,6873268K,00:06:59,23:58.472,19,24
12,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,kr-vs-kp,2,5426184,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_2,2676688K,01:00:45,895.83M,857.08M,6803868K,00:07:07,23:18.282,18,24
13,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,kr-vs-kp,3,5426185,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_3,3485328K,01:00:46,659.33M,698.17M,7694268K,00:07:26,28:40.928,28,40
14,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,kr-vs-kp,4,5426186,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_kr-vs-kp_4,2321504K,01:00:13,109.18M,93.52M,6409180K,00:06:07,10:55.351,5,8
15,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,vehicle,0,5426187,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_vehicle_0,3324308K,01:00:39,400.81M,545.24M,7632996K,00:03:53,09:53.097,23,26
16,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,vehicle,1,5426188,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_vehicle_1,3507144K,01:00:35,582.32M,651.24M,7935024K,00:04:04,10:54.041,22,26
17,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,vehicle,2,5426189,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_vehicle_2,3291652K,01:00:31,443.92M,575.44M,7589900K,00:03:57,09:18.977,20,24
18,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,vehicle,3,5426190,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_vehicle_3,805932K,01:00:18,95.91M,93.63M,4899464K,00:03:18,04:54.752,4,6
19,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,vehicle,4,5426191,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_vehicle_4,801984K,01:00:24,101.35M,205.25M,5045824K,00:03:16,06:20.633,14,16
20,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,MiniBooNE,0,5426192,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_MiniBooNE_0,3858252K,01:00:34,1616.97M,131.72M,7918908K,00:08:27,48:29.782,2,16
21,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,MiniBooNE,1,5426193,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_MiniBooNE_1,3907456K,01:00:12,1658.14M,126.04M,8044704K,00:08:53,46:07.911,1,17
22,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,MiniBooNE,2,5426194,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_MiniBooNE_2,3878320K,01:00:25,1712.88M,134.67M,7996448K,00:09:17,52:29.884,2,17
23,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,MiniBooNE,3,5426195,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_MiniBooNE_3,3869012K,01:00:18,1038.87M,116.78M,7932092K,00:07:26,23:00.807,0,0
24,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,MiniBooNE,4,5426196,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_MiniBooNE_4,3863564K,01:00:22,1763.68M,134.67M,7982548K,00:09:14,01:02:46,2,18
25,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,connect-4,0,5426197,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_connect-4_0,4019608K,01:01:11,1113.16M,181.21M,8303036K,00:08:55,59:36.604,5,26
26,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,connect-4,1,5426198,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_connect-4_1,3786448K,01:01:16,1112.31M,181.93M,8050148K,00:08:54,01:05:48,5,26
27,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,connect-4,2,5426199,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_connect-4_2,3234324K,01:00:11,379.50M,60.79M,7483004K,00:04:28,10:27.317,1,6
28,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,connect-4,3,5426200,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_connect-4_3,3823472K,01:01:08,1115.61M,182.65M,8101992K,00:07:43,01:01:29,5,26
29,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,connect-4,4,5426201,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_connect-4_4,3213048K,01:00:12,379.44M,60.79M,7463932K,00:05:19,09:46.331,1,6
30,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,segment,0,5426202,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_segment_0,1443.50M,01:00:14,122.83M,563.36M,5627260K,00:02:47,11:10.855,21,24
31,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,segment,1,5426203,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_segment_1,869564K,01:00:11,98.86M,71.38M,5061904K,00:02:49,03:51.684,2,5
32,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,segment,2,5426204,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_segment_2,1413964K,01:00:40,352.23M,288.45M,5563640K,00:03:27,08:56.921,14,18
33,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,segment,3,5426205,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_segment_3,3967856K,01:00:20,281.71M,1501.42M,8043104K,00:06:40,42:20.845,84,92
34,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,segment,4,5426206,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_segment_4,1504140K,01:00:29,123.08M,595.25M,5627892K,00:03:01,11:44.553,21,24
35,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,Australian,0,5426207,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_Australian_0,694708K,01:00:16,95.07M,55.48M,4794816K,00:03:01,04:01.873,5,8
36,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,Australian,1,5426208,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_Australian_1,1312884K,01:00:16,101.59M,133.11M,5553044K,00:03:34,09:05.946,17,20
37,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,Australian,2,5426209,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_Australian_2,908376K,01:00:12,111.82M,343.11M,4974136K,00:03:29,11:05.409,35,42
38,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,Australian,3,5426210,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_Australian_3,1474336K,01:00:20,105.48M,244.58M,5706284K,00:03:25,11:10.826,25,28
39,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,Australian,4,5426211,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_Australian_4,1169112K,01:00:22,125.67M,487.40M,5307020K,00:04:49,17:06.127,61,68
40,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,adult,0,5426212,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_adult_0,3084576K,01:00:40,303.79M,61.89M,7153548K,00:08:18,53:03.524,5,17
41,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,adult,1,5426213,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_adult_1,2682376K,01:00:22,172.25M,27.24M,6712264K,00:02:55,11:12.459,2,6
42,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,adult,2,5426214,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_adult_2,3063812K,01:00:14,158.99M,19.38M,7092560K,00:03:01,08:15.022,0,0
43,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,adult,3,5426215,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_adult_3,3067208K,01:00:25,172.21M,27.23M,7097280K,00:03:17,11:20.404,2,6
44,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,adult,4,5426216,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_adult_4,3052436K,01:00:48,246.38M,48.35M,7082424K,00:07:28,34:43.162,5,12
45,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,Albert,0,5426217,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_Albert_0,5405632K,01:01:32,8939.84M,598.61M,9519604K,00:10:25,52:42.232,1,19
46,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,Albert,1,5426218,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_Albert_1,5667652K,01:01:53,8418.02M,585.62M,9726760K,00:10:24,58:36.396,1,18
47,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,Albert,2,5426219,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_Albert_2,5651148K,01:00:50,8919.47M,580.80M,9722500K,00:10:27,58:13.899,0,0
48,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,Albert,3,5426220,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_Albert_3,5640712K,01:01:48,8417.94M,585.62M,9704440K,00:10:04,58:28.070,1,18
49,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50,Albert,4,5426221,autosklearnBBCEnsembleSelectionNoPreSelectLatest_B_50_Nb_50_master_thesis_3600s1c8G_Albert_4,5611972K,01:00:54,8662.43M,580.80M,9678116K,00:10:35,52:17.854,0,0
